RGP - count-left-right.py
12428
 3263co2     Co    1   1.221   3.321  25.831     
 3263co2     Oc    2   1.185   3.339  25.938     
 3263co2     Oc    3   1.262   3.330  25.725     
 3264co2     Co    4   3.506   4.141  30.105    2
 3264co2     Oc    5   3.578   4.161  30.195    2
 3264co2     Oc    6   3.429   4.117  30.015    2
 3265co2     Co    7   1.922   2.738   8.626    0
 3265co2     Oc    8   1.956   2.631   8.605    0
 3265co2     Oc    9   1.898   2.850   8.649    0
 3266co2     Co   10   3.535   0.422  16.831    1
 3266co2     Oc   11   3.573   0.531  16.844    1
 3266co2     Oc   12   3.495   0.311  16.828    1
 3267co2     Co   13   3.507   1.013  22.993    1
 3267co2     Oc   14   3.396   1.031  22.974    1
 3267co2     Oc   15   3.625   0.996  22.993    1
 3268co2     Co   16   1.532   0.595   2.170    0
 3268co2     Oc   17   1.566   0.628   2.068    0
 3268co2     Oc   18   1.474   0.562   2.260    0
 3269co2     Co   19   0.268   3.579   0.947    0
 3269co2     Oc   20   0.356   3.657   0.956    0
 3269co2     Oc   21   0.203   3.485   0.938    0
 3270co2     Co   22   1.577   4.148  18.671    1
 3270co2     Oc   23   1.519   4.084  18.741    1
 3270co2     Oc   24   1.645   4.209  18.594    1
 3271co2     Co   25   1.851   1.738  28.958    2
 3271co2     Oc   26   1.938   1.675  28.903    2
 3271co2     Oc   27   1.766   1.801  29.011    2
 3272co2     Co   28   3.124   0.986  28.923    2
 3272co2     Oc   29   3.214   1.001  28.856    2
 3272co2     Oc   30   3.026   0.973  28.989    2
 3273co2     Co   31   1.285   3.234  21.886    2
 3273co2     Oc   32   1.362   3.292  21.944    2
 3273co2     Oc   33   1.218   3.171  21.813    2
 3274co2     Co   34   2.233   1.852  18.538    1
 3274co2     Oc   35   2.322   1.844  18.613    1
 3274co2     Oc   36   2.134   1.841  18.470    1
 3275co2     Co   37   0.437   4.242   4.866    0
 3275co2     Oc   38   0.389   4.281   4.968    0
 3275co2     Oc   39   0.486   4.195   4.770    0
 3276co2     Co   40   0.141   0.336  43.686    0
 3276co2     Oc   41   0.160   0.320  43.574    0
 3276co2     Oc   42   0.121   0.345  43.803    0
 3277co2     Co   43   2.953   0.028  39.538    0
 3277co2     Oc   44   2.923   0.139  39.542    0
 3277co2     Oc   45   3.014   4.427  39.536    0
 3278co2     Co   46   3.053   0.211  41.469    0
 3278co2     Oc   47   3.115   0.215  41.566    0
 3278co2     Oc   48   3.012   0.200  41.366    0
 3279co2     Co   49   1.997   0.474   4.610    0
 3279co2     Oc   50   2.068   0.525   4.532    0
 3279co2     Oc   51   1.923   0.410   4.681    0
 3280co2     Co   52   1.232   1.877  18.538    1
 3280co2     Oc   53   1.331   1.942  18.566    1
 3280co2     Oc   54   1.130   1.824  18.517    1
 3281co2     Co   55   2.140   2.892  31.129    2
 3281co2     Oc   56   2.044   2.961  31.127    2
 3281co2     Oc   57   2.225   2.811  31.127    2
 3282co2     Co   58   3.325   1.819  29.804    2
 3282co2     Oc   59   3.355   1.902  29.881    2
 3282co2     Oc   60   3.291   1.739  29.727    2
 3283co2     Co   61   0.347   2.080   6.905    0
 3283co2     Oc   62   0.441   2.060   6.832    0
 3283co2     Oc   63   0.263   2.100   6.982    0
 3284co2     Co   64   1.668   1.843  18.008    1
 3284co2     Oc   65   1.780   1.803  18.029    1
 3284co2     Oc   66   1.557   1.889  18.000    1
 3285co2     Co   67   3.495   1.941  31.911    0
 3285co2     Oc   68   3.429   1.938  31.814    0
 3285co2     Oc   69   3.565   1.940  32.005    0
 3286co2     Co   70   3.459   1.910  17.832    1
 3286co2     Oc   71   3.568   1.906  17.800    1
 3286co2     Oc   72   3.350   1.920  17.859    1
 3287co2     Co   73   3.248   0.576   0.269    0
 3287co2     Oc   74   3.342   0.543   0.212    0
 3287co2     Oc   75   3.148   0.609   0.328    0
 3288co2     Co   76   0.523   4.159  18.147    1
 3288co2     Oc   77   0.425   4.188  18.086    1
 3288co2     Oc   78   0.620   4.127  18.197    1
 3289co2     Co   79   2.446   1.971  38.714    0
 3289co2     Oc   80   2.490   2.077  38.732    0
 3289co2     Oc   81   2.409   1.866  38.687    0
 3290co2     Co   82   1.892   4.154  17.236    1
 3290co2     Oc   83   1.924   4.180  17.131    1
 3290co2     Oc   84   1.866   4.117  17.341    1
 3291co2     Co   85   2.339   0.123  19.785    1
 3291co2     Oc   86   2.222   0.143  19.780    1
 3291co2     Oc   87   2.452   0.106  19.780    1
 3292co2     Co   88   0.690   0.734   0.598    0
 3292co2     Oc   89   0.694   0.711   0.710    0
 3292co2     Oc   90   0.694   0.755   0.485    0
 3293co2     Co   91   1.818   4.482  28.009    0
 3293co2     Oc   92   1.772   4.498  27.903    0
 3293co2     Oc   93   1.865   4.489  28.117    0
 3294co2     Co   94   1.979   4.109  30.425    2
 3294co2     Oc   95   1.869   4.134  30.398    2
 3294co2     Oc   96   2.093   4.093  30.435    2
 3295co2     Co   97   3.576   4.114  18.361    1
 3295co2     Oc   98   3.474   4.148  18.415    1
 3295co2     Oc   99   3.665   4.084  18.295    1
 3296co2     Co  100   1.905   4.086  17.988    1
 3296co2     Oc  101   2.003   4.100  18.045    1
 3296co2     Oc  102   1.800   4.082  17.934    1
 3297co2     Co  103   0.493   4.164  31.963    0
 3297co2     Oc  104   0.448   4.118  31.866    0
 3297co2     Oc  105   0.534   4.218  32.050    0
 3298co2     Co  106   2.891   1.549  24.073    0
 3298co2     Oc  107   2.903   1.444  24.113    0
 3298co2     Oc  108   2.902   1.658  24.035    0
 3299co2     Co  109   1.316   1.870  30.988    2
 3299co2     Oc  110   1.339   1.817  31.089    2
 3299co2     Oc  111   1.308   1.932  30.894    2
 3300co2     Co  112   0.418   1.882  30.183    2
 3300co2     Oc  113   0.341   1.873  30.101    2
 3300co2     Oc  114   0.497   1.906  30.259    2
 3301co2     Co  115   2.510   3.443   9.676    0
 3301co2     Oc  116   2.623   3.473   9.684    0
