RGP - count-left-right.py
3328
 3263co2     Co    1   2.923   4.136  26.807     
 3263co2     Oc    2   3.003   4.130  26.727     
 3263co2     Oc    3   2.858   4.150  26.901     
 3264co2     Co    4   1.760   4.473  25.577     
 3264co2     Oc    5   1.695   4.428  25.494     
 3264co2     Oc    6   1.832   0.024  25.656     
 3265co2     Co    7   1.264   1.871  17.631    1
 3265co2     Oc    8   1.242   1.864  17.745    1
 3265co2     Oc    9   1.284   1.883  17.516    1
 3266co2     Co   10   0.692   4.149  18.700    1
 3266co2     Oc   11   0.713   4.165  18.814    1
 3266co2     Oc   12   0.680   4.110  18.588    1
 3267co2     Co   13   0.377   4.355  24.764    1
 3267co2     Oc   14   0.429   4.453  24.729    1
 3267co2     Oc   15   0.342   4.272  24.827    1
 3268co2     Co   16   1.285   3.356  22.007    1
 3268co2     Oc   17   1.221   3.270  21.962    1
 3268co2     Oc   18   1.343   3.448  22.037    1
 3269co2     Co   19   1.031   1.130  31.926    0
 3269co2     Oc   20   0.984   1.172  31.828    0
 3269co2     Oc   21   1.076   1.089  32.022    0
 3270co2     Co   22   0.378   1.895  17.598    1
 3270co2     Oc   23   0.285   1.885  17.674    1
 3270co2     Oc   24   0.463   1.920  17.527    1
 3271co2     Co   25   0.386   1.656  28.807    2
 3271co2     Oc   26   0.386   1.702  28.703    2
 3271co2     Oc   27   0.371   1.614  28.915    2
 3272co2     Co   28   3.058   1.887  17.686    1
 3272co2     Oc   29   3.023   1.821  17.773    1
 3272co2     Oc   30   3.106   1.943  17.592    1
 3273co2     Co   31   1.033   2.526  26.731    1
 3273co2     Oc   32   0.921   2.518  26.701    1
 3273co2     Oc   33   1.146   2.540  26.749    1
 3274co2     Co   34   2.338   4.308  28.921    2
 3274co2     Oc   35   2.324   4.352  29.026    2
 3274co2     Oc   36   2.341   4.260  28.817    2
 3275co2     Co   37   1.733   4.075  17.720    1
 3275co2     Oc   38   1.636   4.045  17.771    1
 3275co2     Oc   39   1.824   4.104  17.658    1
 3276co2     Co   40   2.008   0.592  36.771    0
 3276co2     Oc   41   1.925   0.527  36.720    0
 3276co2     Oc   42   2.097   0.656  36.826    0
 3277co2     Co   43   3.455   1.873  18.701    1
 3277co2     Oc   44   3.380   1.928  18.765    1
 3277co2     Oc   45   3.519   1.822  18.617    1
 3278co2     Co   46   0.104   2.313  46.600    0
 3278co2     Oc   47   0.115   2.427  46.576    0
 3278co2     Oc   48   0.104   2.205  46.637    0
 3279co2     Co   49   0.388   2.346   5.330    0
 3279co2     Oc   50   0.413   2.454   5.301    0
 3279co2     Oc   51   0.351   2.242   5.360    0
 3280co2     Co   52   0.854   1.878  18.429    1
 3280co2     Oc   53   0.742   1.887  18.417    1
 3280co2     Oc   54   0.963   1.867  18.458    1
 3281co2     Co   55   1.969   2.087  35.161    0
 3281co2     Oc   56   1.921   2.083  35.265    0
 3281co2     Oc   57   2.012   2.103  35.054    0
 3282co2     Co   58   3.528   2.387  28.802    2
 3282co2     Oc   59   3.641   2.401  28.813    2
 3282co2     Oc   60   3.413   2.375  28.790    2
 3283co2     Co   61   1.515   0.732  33.122    0
 3283co2     Oc   62   1.579   0.727  33.026    0
 3283co2     Oc   63   1.453   0.762  33.222    0
 3284co2     Co   64   1.154   0.912  10.936    0
 3284co2     Oc   65   1.167   0.852  10.839    0
 3284co2     Oc   66   1.161   0.965  11.040    0
 3285co2     Co   67   1.101   1.535  22.950    0
 3285co2     Oc   68   1.037   1.553  23.043    0
 3285co2     Oc   69   1.165   1.506  22.853    0
 3286co2     Co   70   0.796   0.663   9.468    0
 3286co2     Oc   71   0.738   0.651   9.567    0
 3286co2     Oc   72   0.861   0.692   9.377    0
 3287co2     Co   73   2.132   4.099  17.984    1
 3287co2     Oc   74   2.025   4.093  17.941    1
 3287co2     Oc   75   2.241   4.119  18.014    1
 3288co2     Co   76   2.747   0.908  32.508    0
 3288co2     Oc   77   2.718   0.991  32.438    0
 3288co2     Oc   78   2.772   0.820  32.589    0
 3289co2     Co   79   0.658   2.031  44.613    0
 3289co2     Oc   80   0.657   2.055  44.501    0
 3289co2     Oc   81   0.659   2.007  44.725    0
 3290co2     Co   82   2.075   1.357  21.229    0
 3290co2     Oc   83   2.025   1.344  21.123    0
 3290co2     Oc   84   2.104   1.356  21.344    0
 3291co2     Co   85   2.130   3.521  16.735    1
 3291co2     Oc   86   2.021   3.478  16.748    1
 3291co2     Oc   87   2.239   3.553  16.723    1
 3292co2     Co   88   2.924   1.961  32.014    0
 3292co2     Oc   89   2.946   1.893  31.928    0
 3292co2     Oc   90   2.899   2.027  32.101    0
 3293co2     Co   91   3.196   2.910  22.809    0
 3293co2     Oc   92   3.195   3.018  22.857    0
 3293co2     Oc   93   3.190   2.795  22.773    0
 3294co2     Co   94   0.233   3.138   0.829    0
 3294co2     Oc   95   0.349   3.149   0.798    0
 3294co2     Oc   96   0.125   3.124   0.861    0
 3295co2     Co   97   1.286   4.140  16.840    1
 3295co2     Oc   98   1.205   4.162  16.756    1
 3295co2     Oc   99   1.370   4.117  16.921    1
 3296co2     Co  100   1.623   4.123  18.204    1
 3296co2     Oc  101   1.586   4.096  18.313    1
 3296co2     Oc  102   1.643   4.160  18.096    1
 3297co2     Co  103   0.676   1.961  16.713    1
 3297co2     Oc  104   0.742   2.003  16.796    1
 3297co2     Oc  105   0.601   1.915  16.634    0
 3298co2     Co  106   0.340   2.722  26.267    0
 3298co2     Oc  107   0.271   2.643  26.218    0
 3298co2     Oc  108   0.409   2.801  26.309    0
 3299co2     Co  109   1.511   1.918  31.459    0
 3299co2     Oc  110   1.610   1.882  31.503    0
 3299co2     Oc  111   1.401   1.938  31.426    0
 3300co2     Co  112   2.095   1.841  17.994    1
 3300co2     Oc  113   2.036   1.800  17.902    1
 3300co2     Oc  114   2.157   1.893  18.080    1
 3301co2     Co  115   2.306   4.140  18.748    1
 3301co2     Oc  116   2.192   4.133  18.759    1
 3301co2     Oc  117   2.421   4.120  18.745    1
 3302co2     Co  118   0.921   4.092  17.088    1
 3302co2     Oc  119   0.953   4.056  16.984    1
 3302co2     Oc  120   0.878   4.121  17.196    1
 3303co2     Co  121   2.503   1.963  33.822    0
 3303co2     Oc  122   2.590   2.011  33.895    0
 3303co2     Oc  123   2.425   1.929  33.745    0
 3304co2     Co  124   3.385   2.989  16.902    1
 3304co2     Oc  125   3.278   3.042  16.913    1
 3304co2     Oc  126   3.491   2.936  16.888    1
 3305co2     Co  127   2.299   1.152  29.655    2
 3305co2     Oc  128   2.398   1.203  29.620    2
 3305co2     Oc  129   2.190   1.112  29.664    2
 3306co2     Co  130   2.117   1.981  42.303    0
 3306co2     Oc  131   2.197   1.958  42.222    0
 3306co2     Oc  132   2.036   2.018  42.378    0
 3307co2     Co  133   0.192   4.200  18.618    1
 3307co2     Oc  134   0.083   4.194  18.601    1
 3307co2     Oc  135   0.307   4.199  18.650    1
 3308co2     Co  136   1.051   3.276  20.550    1
 3308co2     Oc  137   1.133   3.223  20.487    1
 3308co2     Oc  138   0.967   3.332  20.609    1
 3309co2     Co  139   0.253   2.126  28.748    2
 3309co2     Oc  140   0.197   2.202  28.818    2
 3309co2     Oc  141   0.322   2.073  28.669    2
 3310co2     Co  142   3.466   2.845  34.884    0
 3310co2     Oc  143   3.364   2.869  34.831    0
 3310co2     Oc  144   3.550   2.806  34.961    0
 3311co2     Co  145   1.524   1.914  17.169    1
 3311co2     Oc  146   1.422   1.935  17.219    1
 3311co2     Oc  147   1.622   1.888  17.108    1
 3312co2     Co  148   1.769   2.982  12.217    0
 3312co2     Oc  149   1.778   3.017  12.103    0
 3312co2     Oc  150   1.744   2.940  12.322    0
 3313co2     Co  151   1.367   2.459  46.489    0
 3313co2     Oc  152   1.336   2.366  46.429    0
 3313co2     Oc  153   1.390   2.561  46.546    0
 3314co2     Co  154   2.057   2.089  43.077    0
 3314co2     Oc  155   2.080   2.004  42.999    0
 3314co2     Oc  156   2.000   2.172  43.140    0
 3315co2     Co  157   0.630   3.367  19.805    0
 3315co2     Oc  158   0.667   3.398  19.694    1
 3315co2     Oc  159   0.603   3.325  19.912    1
 3316co2     Co  160   1.438   2.658  23.876    1
 3316co2     Oc  161   1.348   2.722  23.849    1
 3316co2     Oc  162   1.520   2.587  23.912    1
 3317co2     Co  163   1.829   2.106  36.057    0
 3317co2     Oc  164   1.827   2.083  36.168    0
 3317co2     Oc  165   1.829   2.146  35.945    0
 3318co2     Co  166   0.364   2.360  22.602    0
 3318co2     Oc  167   0.298   2.442  22.547    0
 3318co2     Oc  168   0.435   2.276  22.654    0
 3319co2     Co  169   1.542   1.199  26.465    0
 3319co2     Oc  170   1.574   1.101  26.507    0
 3319co2     Oc  171   1.526   1.313  26.433    0
 3320co2     Co  172   2.662   2.673  28.493    2
 3320co2     Oc  173   2.678   2.585  28.566    2
 3320co2     Oc  174   2.630   2.753  28.423    2
 3321co2     Co  175   3.118   2.194   1.064    0
 3321co2     Oc  176   3.175   2.180   1.167    0
