 3263co2;     Co;    1;   0.385;   1.405;  40.079
 3263co2;     Oc;    2;   0.274;   1.427;  40.044
 3263co2;     Oc;    3;   0.493;   1.389;  40.105
 3264co2;     Co;    4;   1.371;   2.103;  38.626
 3264co2;     Oc;    5;   1.265;   2.129;  38.654
 3264co2;     Oc;    6;   1.479;   2.084;  38.588
 3265co2;     Co;    7;   3.650;   2.938;  19.369
 3265co2;     Oc;    8;   3.574;   2.919;  19.282
 3265co2;     Oc;    9;   0.041;   2.950;  19.457
 3266co2;     Co;   10;   3.508;   1.627;  10.472
 3266co2;     Oc;   11;   3.623;   1.649;  10.442
 3266co2;     Oc;   12;   3.403;   1.588;  10.504
 3267co2;     Co;   13;   2.457;   3.912;  36.918
 3267co2;     Oc;   14;   2.413;   3.852;  36.825
 3267co2;     Oc;   15;   2.501;   3.954;  37.015
 3268co2;     Co;   16;   3.180;   0.730;  20.513
 3268co2;     Oc;   17;   3.293;   0.718;  20.489
 3268co2;     Oc;   18;   3.072;   0.751;  20.535
 3269co2;     Co;   19;   1.737;   2.613;  28.514
 3269co2;     Oc;   20;   1.783;   2.602;  28.407
 3269co2;     Oc;   21;   1.687;   2.660;  28.615
 3270co2;     Co;   22;   0.138;   3.767;  44.888
 3270co2;     Oc;   23;   0.131;   3.886;  44.885
 3270co2;     Oc;   24;   0.149;   3.649;  44.886
 3271co2;     Co;   25;   2.594;   3.644;  24.380
 3271co2;     Oc;   26;   2.503;   3.645;  24.458
 3271co2;     Oc;   27;   2.681;   3.647;  24.303
 3272co2;     Co;   28;   0.956;   1.652;  47.791
 3272co2;     Oc;   29;   0.906;   1.726;  47.866
 3272co2;     Oc;   30;   0.983;   1.575;  47.712
 3273co2;     Co;   31;   2.096;   1.246;  23.550
 3273co2;     Oc;   32;   2.064;   1.306;  23.453
 3273co2;     Oc;   33;   2.141;   1.218;  23.652
 3274co2;     Co;   34;   0.923;   3.110;  29.109
 3274co2;     Oc;   35;   0.913;   3.227;  29.117
 3274co2;     Oc;   36;   0.934;   3.001;  29.089
 3275co2;     Co;   37;   3.636;   3.843;  10.364
 3275co2;     Oc;   38;   3.634;   3.822;  10.475
 3275co2;     Oc;   39;   3.638;   3.848;  10.248
 3276co2;     Co;   40;   1.680;   0.573;   4.101
 3276co2;     Oc;   41;   1.683;   0.487;   4.180
 3276co2;     Oc;   42;   1.679;   0.663;   4.018
 3277co2;     Co;   43;   1.258;   1.894;  31.316
 3277co2;     Oc;   44;   1.356;   1.879;  31.370
 3277co2;     Oc;   45;   1.167;   1.919;  31.250
 3278co2;     Co;   46;   2.771;   2.247;  19.229
 3278co2;     Oc;   47;   2.676;   2.177;  19.226
 3278co2;     Oc;   48;   2.874;   2.299;  19.216
 3279co2;     Co;   49;   0.596;   3.809;  37.832
